187464	435_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7446317543747195	0.07294404204858662	0	0	0	0	0	0	0	0	0.010672392795333632	0	0	0	0	0	0	0
187539	836_T27	0	0	0	0	0	0	0	0	0	0	0	0	0.7420034642032333	0.051530023094688224	0	0	0	0	0	0	0	0	0.0734122401847575	0	0	0	0	0	0	0
187439	335_T0	0.06324776396794053	0	0	0	0	0	0	0	0	0	0	0	0.7289174120106866	0.07085608084562667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187455	421_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.7239272470422038	0.07402436870916475	0	0	0	0	0	0	0	0	0.03634116192830655	0	0	0	0	0	0	0
187457	422_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.6923917256933432	0.06522888254572365	0	0	0	0	0	0	0	0	0	0.07393311484653065	0	0	0	0	0	0
187477	452_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.6851817678538475	0.0658793135264809	0	0	0	0	0	0	0	0	0.06815525619733039	0	0	0	0	0	0	0
187400	223_T0	0.18897256961238165	0	0	0	0	0	0	0	0	0	0	0	0.6750155461894561	0.04570579700131279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187484	513_T12	0	0	0	0.024908755691011027	0	0	0	0	0	0	0	0	0.6494337208864808	0.06355119087933174	0	0	0	0	0	0	0	0	0	0.10215599954848177	0	0	0	0	0	0
187413	241_T0	0.21590554997749542	0	0	0	0	0	0	0	0	0	0	0	0.6346293667555309	0.05030640861406364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187398	221_T0	0.2888349514563107	0	0	0	0	0	0	0	0	0	0	0	0.5742655402849578	0.04255453284579498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187532	833_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.545790381029448	0.04288780213207614	0	0	0	0	0	0	0	0	0.2955353059142244	0	0	0	0	0	0	0
187412	235_T0	0.3242711197094661	0	0	0	0	0	0	0	0	0	0	0	0.5329056783083868	0.03811560262023555	0	0	0	0	0	0	0	0	0	0	0	0.012456301123442962	0	0	0	0
187527	812_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.5277596128694743	0.039661260789955535	0	0	0	0	0	0	0	0	0.3153282762228616	0	0	0	0	0	0	0
187405	225_T0	0.351310014629605	0	0	0	0	0	0	0	0	0	0	0	0.5159928181939087	0.038602207740391005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187472	443_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.5045454545454546	0.04304075235109718	0	0	0	0	0	0	0	0	0.34191222570532914	0	0	0	0	0	0	0
187476	452_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.47293906138806696	0.03516985654893442	0	0	0	0	0	0	0	0	0	0	0.3496760178283831	0	0	0	0	0
187458	424_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.4671585948867179	0.04569389593293147	0	0	0	0	0	0	0	0	0.3435183260583385	0	0	0	0	0	0	0
187456	422_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.4625791495103976	0.04300889242586761	0	0	0	0	0	0	0	0	0.35849970589252966	0	0	0	0	0	0	0
187463	435_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.4543595091040346	0.038862597256757836	0	0	0	0	0	0	0	0	0	0	0.39480227801395684	0	0	0	0	0
187534	834_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.43717747363697557	0.03788048762246653	0	0	0	0	0	0	0	0	0.3970533243586867	0	0	0	0	0	0	0
187540	844_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9477425299460313	0	0	0	0	0	0	0	0	0
187394	1055_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9473142220985249	0	0	0	0	0	0	0	0	0
187525	811_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9464240824534943	0	0	0	0	0	0	0	0	0
187392	1054_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9449393148362443	0	0	0	0	0	0	0	0	0
187545	856_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9440425584806224	0	0	0	0	0	0	0	0	0
187529	821_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9438191679468289	0	0	0	0	0	0	0	0	0
187537	836_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9430773197352966	0	0	0	0	0	0	0	0	0
187564	952_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9430619021006608	0	0	0	0	0	0	0	0	0
187531	833_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9426619331502444	0	0	0	0	0	0	0	0	0
187542	853_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9424871828578941	0	0	0	0	0	0	0	0	0
187395	1056_T0	0	0	0	0	0	0.0077118289107349644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9423460714021732	0	0	0	0	0	0	0	0	0
187396	1056_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9423268870867124	0	0	0	0	0	0	0	0	0
187536	835_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9417383503087235	0	0	0	0	0	0	0	0	0
187533	834_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9415839219299142	0	0	0	0	0	0	0	0	0
187566	956_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941351888667992	0	0	0	0	0	0	0	0	0
187543	853_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9390379381214242	0	0	0	0	0	0	0	0	0
187562	941_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9386109641067147	0	0	0	0	0	0	0	0	0
187559	934_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936673644777435	0	0	0	0	0	0	0	0	0
187530	822_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008098833218943034	0.9359986273164036	0	0	0	0	0	0	0	0	0
187555	932_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9358744929611071	0	0	0	0	0	0	0	0	0
187565	956_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9351079216733422	0	0	0	0	0	0	0	0	0
187563	951_T0	0	0	0.00797889453703108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9320828775497072	0	0	0	0	0	0	0	0	0
187384	1035_T0	0	0.010338345864661655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9315084586466166	0	0	0	0	0	0	0	0	0
187528	814_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01318562689559451	0	0	0	0	0	0.9282372898781679	0	0	0	0	0	0	0	0	0
187551	924_T0	0	0	0.013294694072657744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9282086520076481	0	0	0	0	0	0	0	0	0
187556	933_T0	0	0	0.013552048335639064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9263107371749626	0	0	0	0	0	0	0	0	0
187526	812_T0	0	0	0	0	0	0	0	0	0	0	0	0	0.023123792539753305	0.0013969386238668448	0	0	0	0	0	0	0.9141328577797593	0	0	0	0	0	0	0	0	0
187389	1042_T0	0	0.033395452851285874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9082370480805069	0	0	0	0	0	0	0	0	0
187560	934_T12	0	0	0.03902456699760852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011232698021595766	0.8958982534966301	0	0	0	0	0	0	0	0	0
187380	1023_T0	0	0	0	0	0	0.06219935115784764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8864805906700973	0	0	0	0	0	0	0	0	0
187393	1054_T12	0	0	0	0	0	0	0.07785610934950589	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8750731151679341	0	0	0	0	0	0	0	0	0
187550	916_T0	0	0	0.07549471804790954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8654069334920398	0	0	0	0	0	0	0	0	0
187554	925_T0	0	0	0.07884451497252343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8611184577860059	0	0	0	0	0	0	0	0	0
187549	913_T0	0	0	0.09909725770737525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8475898484074263	0	0	0	0	0	0	0	0	0
187546	911_T0	0	0	0.09239790327834868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8474842301655463	0	0	0	0	0	0	0	0	0
187375	1014_T0	0	0	0	0	0	0.09446925455170045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.835451734799038	0	0	0	0	0	0	0	0	0
187544	854_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.12212877705016123	0.00867599640993252	0	0	0	0	0	0	0.7838978825250141	0	0	0	0	0	0	0	0	0
187547	911_T12	0	0	0.16935724557071924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7744254822693111	0	0	0	0	0	0	0	0	0
187541	844_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.1590509968664991	0.00984814572500947	0	0	0	0	0	0	0.7436383044660997	0	0	0	0	0	0	0	0	0
187382	1026_T0	0	0.20212892837974836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7341224879241458	0	0	0	0	0	0	0	0	0
187387	1041_T0	0	0.21350769326800037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.723822602290815	0	0	0	0	0	0	0	0	0
187378	1021_T0	0	0.2179084530571333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7179752756431673	0	0	0	0	0	0	0	0	0
187391	1043_T0	0	0	0	0	0	0.2042131267944181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.710389263537424	0	0	0	0	0	0	0	0	0
187557	933_T12	0	0	0.3106411379468569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6348809076878155	0	0	0	0	0	0	0	0	0
187379	1021_T12	0	0.32298537625957846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6171443006708395	0	0	0	0	0	0	0	0	0
187552	924_T12	0	0	0.3398663697104677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6052895322939866	0	0	0	0	0	0	0	0	0
187390	1042_T12	0	0.35172575722000465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5887029148358098	0	0	0	0	0	0	0	0	0
187397	1056_T27	0	0.3858314690529456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5499776286353467	0	0	0	0	0	0	0	0	0
187381	1023_T12	0	0.40620277284972733	0	0	0	0	0	0	0	0	0	0	0.020040738550496092	0.001576976148235758	0	0	0	0	0	0	0.5053222945002958	0	0	0	0	0	0	0	0	0
187388	1041_T12	0	0.3984509187542535	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053764137796934244	0	0	0	0	0.4749975694331918	0	0	0	0	0	0	0	0	0
187558	933_T27	0	0	0.4634825509246648	0	0	0	0	0	0	0	0	0	0	0	0.017070734586397893	0	0	0	0	0	0.45252580283906896	0	0	0	0	0	0	0	0	0
187376	1014_T12	0	0.36813236764750445	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10039698172671899	0	0	0	0	0.4314979241795206	0	0	0	0	0	0	0	0	0
187548	911_T27	0.21706766917293233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2569548872180451	0	0	0	0.4014285714285714	0	0	0	0	0	0	0	0	0
187385	1035_T12	0	0.36215625930705847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1600979516198418	0	0	0	0.37228233892584134	0	0	0	0	0	0	0	0	0
187501	712_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8658912474556557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187507	721_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8634889660515971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187425	312_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8498345501339356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187503	714_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8480923800498403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187508	721_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8432484274068432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187442	336_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8357364998586372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187446	341_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8296869841841481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187523	754_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.823720802794712	0	0	0	0	0	0	0	0	0	0	0.015754503733132405	0	0	0	0
187561	934_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7980563049041987	0	0	0	0	0	0	0	0.05135920315418137	0	0	0	0	0	0	0
187433	331_T0	0.029603661505501994	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7946895186158989	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187506	721_T0	0	0	0	0	0	0	0	0.050267174351262274	0	0	0	0	0	0	0.7926919015774486	0	0	0	0	0	0	0	0.05263494704508367	0	0	0	0	0	0	0
187502	714_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7644533381844643	0	0	0	0	0	0	0	0	0.07793341822812444	0	0	0	0	0	0
187512	742_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7612641665898829	0	0	0	0	0	0	0	0	0	0	0.05228968948677785	0	0	0	0
187524	756_T0	0	0	0	0.16208389641192533	0	0	0	0	0	0	0	0	0	0	0.6394550318541604	0	0	0	0	0	0	0	0	0	0	0	0	0.08557875286135856	0	0
187520	751_T27	0	0	0	0.23034474574259775	0	0	0	0	0	0	0	0	0	0	0.6158547439624992	0	0	0	0	0	0	0	0	0	0	0.033554856702070854	0	0	0	0
187511	742_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5718404613166747	0	0	0	0	0	0	0	0	0.28880345987506006	0	0	0	0	0	0
187505	716_T0	0	0	0	0.15957126739375707	0	0	0	0	0	0	0	0	0	0	0.540428732606243	0	0	0	0	0	0	0	0	0	0	0	0	0.1708160962767958	0	0
187509	723_T0	0	0	0	0.03734197967139058	0	0	0	0	0	0	0	0	0	0	0.5305475609311815	0	0	0	0	0	0	0	0.3215417683704324	0	0	0	0	0	0	0
187553	924_T27	0.16414316345043709	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47273626917367634	0	0	0	0	0	0	0	0	0	0	0	0.23869371598218703	0	0	0
187513	743_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4627941943600602	0	0	0	0	0	0	0.47377949614900733	0	0	0	0	0	0	0	0
187519	751_T12	0	0	0	0.4054184143574228	0	0	0	0	0	0	0	0	0	0	0.4445093859588806	0	0	0	0	0	0	0	0	0	0	0.023550849205803477	0	0	0	0
187470	442_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8246649649010849	0	0	0	0	0	0	0	0	0.012603701340140397	0	0	0	0	0
187427	312_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813564808003531	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187447	342_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8082716740854288	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187460	424_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.798753836138752	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187434	332_T0	0.011221799003808966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7892469967770289	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187436	334_T0	0.02573340195573855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7859667181334705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187450	343_T0	0.02189117744244961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7850809560524287	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187443	336_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7792674661873472	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187459	424_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7739583688209043	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187445	341_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7693366093366093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187428	313_T0	0.0142666468930743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7677888180335162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187468	441_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7562626744602171	0	0	0	0	0	0	0.018042466897292136	0	0	0	0	0	0	0
187462	425_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7557700958510676	0	0	0	0	0	0	0.01795909893075885	0	0	0	0	0	0	0
187500	712_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7311701711317465	0	0	0	0	0	0	0	0.08257729391254848	0	0	0	0	0	0
187517	746_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7038903924221921	0	0	0	0	0	0	0	0.11187415426251691	0	0	0	0	0	0
187514	744_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6744735102464823	0	0	0	0	0	0	0	0.15890704189882582	0	0	0	0	0	0
187465	436_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557772751216187	0	0	0	0	0	0	0	0	0.2779413131720014	0	0	0	0	0
187452	415_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43713212458221185	0	0	0	0	0	0	0	0.3763494927386199	0	0	0	0	0	0
187495	545_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9833665586842761	0	0	0	0	0	0	0	0
187489	531_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9805899738547231	0	0	0	0	0	0	0	0
187491	532_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9800187526269843	0	0	0	0	0	0	0	0
187494	544_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.979305706451446	0	0	0	0	0	0	0	0
187498	546_T0	0	0	0	0	0	0	0.026448211825316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9303600311507818	0	0	0	0	0	0	0	0
187492	533_T0	0	0	0	0	0.08867293384854952	0	0	0	0	0	0	0	0	0	0.012486302554933965	0	0	0	0	0	0	0.8708403022088933	0	0	0	0	0	0	0	0
187478	511_T0	0	0	0	0	0.11113819899436234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8375133323175377	0	0	0	0	0	0	0	0
187483	513_T0	0	0	0	0	0.14030612244897958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8247732426303854	0	0	0	0	0	0	0	0
187486	524_T0	0	0	0	0	0.17498857776907514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7908752692383003	0	0	0	0	0	0	0	0
187480	512_T0	0	0	0	0	0.22316786093074992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7214993403523294	0	0	0	0	0	0	0	0
187488	526_T0	0	0	0	0	0	0	0.28113059540980284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6839747969331208	0	0	0	0	0	0	0	0
187518	751_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24050840777719393	0	0	0	0.6793221229637414	0	0	0	0	0	0	0	0
187487	525_T0	0	0	0	0	0.33210922787193975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6148775894538606	0	0	0	0	0	0	0	0
187479	511_T12	0	0	0	0	0	0	0.36001498076333793	0	0	0	0	0	0	0	0.01784072724796568	0	0	0	0	0	0	0.5726056314051275	0	0	0	0	0	0	0	0
187521	752_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.41237928875119473	0	0	0	0	0	0	0.5144853498566296	0	0	0	0	0	0	0	0
187510	731_T0	0	0	0	0.020757597789733895	0	0	0	0	0	0	0	0	0	0	0.3486622073578596	0	0	0	0	0	0	0.5137051039697542	0	0	0	0	0	0	0	0
